0	1
wonderful treat 	 great deal
these are great snack for the whole family 	 great
nice 	 excellent coffee
no pot fresh coffee 	 great coffee
am addicted to this tea 	 great tea
nice 	 tea
very yummy 	 great coffee
wonderfully aromatic 	 best thing ever
wonderful 	 delicious
not the best 	 not bad
worked perfectly for weeks so far 	 great product
great tea 	 excellent tea
great mix 	 delicious
keurig nantucket blend cups 	 great coffee
no problems 	 excellent service
this is water at it is finest 	 great coffee
better than starbucks 	 great coffee
not for my cat 	 great toy for your dog
aftertaste 	 great coffee
perfect for our food allergy child 	 great tasting
my absolute favorite walnuts 	 great gift
authentic taste easy to prepare 	 best seasoning ever
just as remember it 	 delicious
you call this coffee 	 not bad
you will never use white sugar again 	 good coffee
all have to say is 	 good product
tastes like popcorn 	 popcorn
liver treats seem off 	 not for the money
amazing 	 great gift
no results 	 good stuff
delicious flavors 	 great product
buy some peanut butter 	 great for
cannot find anywhere else 	 delicious
hot chocolate mix 	 good
the lid broke within minutes 	 not for the money
strong tasty coffee 	 great coffee
look no 	 great tasting
dog likes them 	 greenies
jamaica me crazy terrible 	 coffee
broke 	 great toy
simply amazing peanut butter 	 great bread
great price great taste 	 great deal
unhappy for the first time 	 poor product
happy with happy hips purchase 	 great dog food
contains 	 great product
dog loves treats 	 great product
delicious 	 great
not much in this brew 	 coffee
wow 	 great coffee
great northern popcorn 	 great popcorn
of sugar in small can 	 not bad
best cookies ever 	 great seeds
tastes like real and berries yum 	 not bad
dog treat 	 great product
amazing 	 great coffee
love pear food 	 great
best chai 	 great coffee
fancy vanilla tea fine tea stores 	 great tasting
love them 	 great taste
amazing 	 great product
awesome 	 great flavor
yummy flavors 	 great food
delicious 	 great gift
very good coffee 	 great coffee
best belgian waffles in no time 	 great
light and delicious 	 great product
would buy it again 	 great coffee
better than plain half and half 	 great coffee
just what we ordered 	 tea
delicious 	 great coffee
but not busy 	 not for the money
this is great tea 	 great tea
yum 	 great
great northern popcorn 	 great popcorn
very good 	 good but not great
got coffee 	 great coffee
my year old loves this stuff 	 great for our family
for those who want the 	 love these
very tasty 	 nice flavor
this tea should get the 	 great tea
powdered goat milk 	 my cat will eat it
delicious 	 great product
gold dust is awesome 	 not as described
best doggie treats 	 my dogs love these
best tea ever 	 great tea
delicious and filling 	 great flavor
great gift 	 delicious
best could ever eat 	 great product
delicious 	 great gift
maple syrup 	 delicious
my dog likes them 	 my dogs love these
good value 	 lipton tea
cream of at bargain price 	 great tea
my dog loves these 	 great dog food
my dogs love these like crack 	 my dogs love these
very good but little bland 	 great flavor
with little help superb 	 not what expected
hard as rock but 	 not bad
awesome used for sauces 	 great snack
poor quality ingredients but my cat loves it 	 my cats love it
makes quick tasty martini 	 great product
too 	 tea
delicate biscuits 	 delicious
fabulous popcorn 	 great popcorn
tasty and filling low on carbs 	 delicious
great taste seems healthier 	 not bad
this is great snack food 	 great
the best instant oatmeal on the market 	 great snack
goodness 	 not bad
what bacon is to be 	 not bad
bitter 	 not bad
good quality plant 	 not as advertised
simply amazon this 	 great product
syrup 	 great product
yummy better than the best american chocolate 	 great snack
wonderful product 	 great product
interesting peppercorn 	 not as advertised
awesome sauce 	 great gift
melted 	 not bad
my dog loves them 	 greenies
great taste lousy cup 	 great coffee
great gluten free snack 	 great
great coffee 	 great coffee
agree with others 	 great product
definite yes product 	 great coffee
tea 	 not for me
it was nice while it lasted 	 excellent coffee
thanks 	 great coffee
healthier 	 my dogs love these
popcorn lovers love this popcorn 	 great
great vendor quality product 	 not bad
great food 	 great product
best so far 	 excellent coffee
not up to taste wise 	 not so good
fantastic 	 great
great cat grass seeds 	 tug jug
best healthy potato chip 	 great chips
come true 	 great coffee
great for feeding pills to pets 	 cat food
best wafers out there 	 coffee
crisp way to eat 	 good
whole grain oats 	 great gift
delicious and without the shakes 	 great coffee
fabulous 	 great product
small 	 great popcorn
good peanuts 	 great taste
refreshingly yummy 	 tea
odd 	 great product
to hard to bite 	 great product
taste great for great price 	 great product
keeps on the cat 	 great product
great coffee 	 great coffee
amazing stuff 	 delicious
my favorite tea for reason 	 great tea
heavy on the vinegar 	 great chips
great taste 	 great product
rich taste 	 coffee
seeds 	 great product
yummy cereal 	 great
good eating 	 great deal
greenie clean 	 great product
little too sweet 	 delicious
great tasting decaf tea 	 great tea
great taste and texture 	 eating the best
just 	 great gift
good snack for everyone 	 great
product good shipping not 	 not bad
doggie 	 greenies
lipton loose tea 	 great tea
awful 	 gluten free bisquick
amazingly real 	 great gift
hot cocoa 	 great tea
not the same very artificial tasting 	 the worst thing ever
cat food 	 my dog loves it
cups disposable 	 not bad
good chips 	 great chips
not bad 	 great tasting
half the price elsewhere 	 great service
these mints are awesome 	 great gift
easy and great 	 great popcorn
not what it used to be 	 rip off
love these 	 great tasting mix
great product 	 great coffee
the best protein snack 	 popchips
love this coffee 	 great coffee
best starter 	 great
delicous treat for dogs 	 great product
do not buy 	 not bad
the best hot cocoa 	 yummy
customer service by mushrooms 	 poor quality
amazing 	 greenies
you will be amazed 	 great taste
best coffee ever 	 great coffee
good bold coffee 	 great coffee
exactly what ordered 	 great treats
god love these cookies 	 great
good price 	 great product
better deal than in grocery 	 good stuff
price 	 great coffee
breakfast cookies 	 great tea
my favorite dental treat works 	 greenies dental chews
the standard for salt and vinegar chips 	 great taste
easy great for 	 good but not for small
lot of stars but not 	 coffee
disappointed 	 not what expected
the best you can buy 	 great gift
sugary but high in fiber 	 do not waste your money
my dog loves these 	 great product
in 	 not as described
fantastic 	 great tea
best herbal tea for digestion 	 coffee
fun to try 	 not so good
thanks 	 delicious
delicious 	 great coffee
perfect coffee 	 great coffee
great for our french bulldog 	 great for dogs
chocolate delightful treat 	 great coffee
treat for dog 	 great tea
tastes good 	 not bad
service was good 	 great gift
wonderful taste 	 best mix
very good purchase 	 great gift
van coffee 	 great coffee
great tea 	 great tea
tastes great 	 great coffee
it is not organic 	 tea
not good 	 not bad
grainy and little but thick 	 great
has corn in it 	 my favorite
waffle crisp 	 delicious
classic and no corn syrup 	 not as advertised
jack link is always great 	 do not like your money
jam 	 not bad
yuk 	 great taste
natural organic and great tasting crunch 	 great
half the calories of regular and is awesome 	 great cocoa
yummy in pink 	 good but not for
tasty and 	 not bad
very strong 	 great coffee
yumm 	 delicious
exactly what wanted 	 excellent coffee
easy way to make popcorn 	 great chocolate
pups love these 	 not for puppies
try grove square instead 	 not bad
do not buy from this vendor 	 great product
over for cup 	 great coffee
gyro meat 	 not bad
worked for my picky 	 good stuff
grocery on amazon great idea 	 great gift
tic tac variety pack 	 great gift
great on the go milk 	 good stuff
excellent only 	 great chips
great flavor and quality 	 great gift
not bad 	 good flavor
perfect size portion 	 great product
kitties love it 	 great food
best iced tea around 	 great tea
yum 	 great product
great alternative to white pasta 	 great product
amazing tuna 	 great
tea lovers choice 	 great coffee
great pop chips 	 great chips
loose tea tastes great 	 great tea
the best chips ever 	 great chips
disposable cups 	 great coffee
delicious for special 	 great coffee
good fun for dogs 	 not for small dogs
not as good as had hoped 	 not bad
do not stop these chips 	 delicious
great price 	 good flavor
truly natural 	 great taste
absolutely one of the best hard candies available 	 not as pictured
it works 	 do not do not like
not so hot cocoa 	 great coffee
best green tea 	 great tea
quick bread 	 great tea
starbucks 	 great coffee
awesome 	 great taste
where the went 	 greenies dental chews
lindt truffles milk chocolate 	 chocolate
